Identity_ObjectID,Module,Backup_DateTime,Target_Resource,Resource_FriendlyName,Permission_Name,Permission_Description

a1b2c3d4-e5f6-g7h8-i9j0-k1l2m3n4o5p6,Key Vault,2024-01-28 08:00:00,team_123456,IT Support Team,Owner,"Full administrative access to team, including member management and settings"

b2c3d4e5-f6g7-h8i9-j0k1-l2m3n4o5p6q7,Key Vault,2024-01-28 08:00:00,team_123456,IT Support Team,Member,Can participate in team conversations and access team resources

c3d4e5f6-g7h8-i9j0-k1l2-m3n4o5p6q7r8,Teams_Channel,2024-01-28 08:00:00,channel_789012,Project Alpha Channel,Channel Owner,Can manage channel settings and member access

d4e5f6g7-h8i9-j0k1-l2m3-n4o5p6q7r8s9,Teams_Channel,2024-01-28 08:00:00,meeting_345678,Weekly Status Meeting,Presenter,Can present content and manage meeting settings

e5f6g7h8-i9j0-k1l2-m3n4-o5p6q7r8s9t0,Teams,2024-01-22 07:55:00,chat_901234,Project Discussion,Participant,Can send messages and share files in chat

f6g7h8i9-j0k1-l2m3-n4o5-p6q7r8s9t0u1,Teams,2024-01-22 07:55:00,app_567890,Planner,App User,Can use the app within teams and access its features

g7h8i9j0-k1l2-m3n4-o5p6-q7r8s9t0u1v2,Share Point,2024-01-28 08:00:00,files_123789,Shared Documents,Contributor,Can upload and edit files in the team library

h8i9j0k1-l2m3-n4o5-p6q7-r8s9t0u1v2w3,Teams,2024-01-28 08:00:00,policy_456123,Communication Policy,Policy Administrator,Can manage and assign communication policies

1349j0k1-l2m3-n4o5-p6q7-r8s9t0u1v2w3,DevOps,2024-01-24 16:33:00,policy_456123,Communication Policy,Policy Administrator,Can manage and assign communication policies

42314g5y-g7h8-i9j0-k1l2-m3n4o5566221,DevOps,2024-01-24 16:33:00,channel_789012,Project Alpha Channel,Channel Owner,Can manage channel settings and member access